 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  03/10/2007 16:29:06                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


702 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000594 0x019E1C48 0x00000018 0x019E1C38 0x00000038 0x00000000 new         N       N    ??(0) ??
000595 0x019E1C88 0x00000019 0x019E1C78 0x00000039 0x00000000 new         N       N    ??(0) ??
000596 0x019E1CD0 0x00000018 0x019E1CC0 0x00000038 0x00000000 new         N       N    ??(0) ??
000597 0x019E1D10 0x0000001A 0x019E1D00 0x0000003A 0x00000000 new         N       N    ??(0) ??
000598 0x019E1D58 0x00000018 0x019E1D48 0x00000038 0x00000000 new         N       N    ??(0) ??
000599 0x019E1D98 0x00000019 0x019E1D88 0x00000039 0x00000000 new         N       N    ??(0) ??
000600 0x019E1DE0 0x00000018 0x019E1DD0 0x00000038 0x00000000 new         N       N    ??(0) ??
000601 0x019E1E20 0x0000001A 0x019E1E10 0x0000003A 0x00000000 new         N       N    ??(0) ??
000602 0x019E1E68 0x00000018 0x019E1E58 0x00000038 0x00000000 new         N       N    ??(0) ??
000603 0x019E1EA8 0x0000001D 0x019E1E98 0x0000003D 0x00000000 new         N       N    ??(0) ??
000604 0x019E1EF0 0x00000018 0x019E1EE0 0x00000038 0x00000000 new         N       N    ??(0) ??
000605 0x019E1F30 0x0000001E 0x019E1F20 0x0000003E 0x00000000 new         N       N    ??(0) ??
